species_short	neworder	species	fullname
P.succinatutens	154	PhSu	Phascolarctobacterium_succinatutens
Parabacteroides.sp.	146	PaSp	Parabacteroides_sp.
Prevotella.sp.	158	PrSp	Prevotella_sp.
Pseudoflavonifractor.sp.	161	PsSp	Pseudoflavonifractor_sp.
R.bicirculans	165	RuBi	Ruminococcus_bicirculans
R.bromii	166	RuBr	Ruminococcus_bromii
Roseburia.faecis	162	RoFa	Roseburia_faecis
Ruminococcus.faecis	167	RuFa	Ruminococcus_faecis
R.intestinalis	163	RoIn	Roseburia_intestinalis
R.lactatiformans	170	RuLa	Ruthenibacterium_lactatiformans
R.torques	169	RuTo	Ruminococcus_torques
Roseburia.sp.	164	RoSp	Roseburia_sp.
Ruminococcus.sp.	168	RuSp	Ruminococcus_sp
S.anginosus	173	StAn	Streptococcus_anginosus
S.constellatus	174	StCo	Streptococcus_constellatus
S.gallolyticus	175	StGa	Streptococcus_gallolyticus
S.gordonii	176	StGo	Streptococcus_gordonii
S.intestinalis	171	SeIn	Sellimonas_intestinalis
S.lutetiensis	177	StLu	Streptococcus_lutetiensis
S.parasanguinis	178	StPa	Streptococcus_parasanguinis
S.salivarius	179	StSa	Streptococcus_salivarius
S.wadsworthensis	181	SuWa	Sutterella_wadsworthensis
Senegalimassilia.sp.	172	SeSp	Senegalimassilia_sp.
Streptococcus.sp.	180	StSp	Streptococcus_sp.
T.nexilis	183	TyNe	Tyzzerella_nexilis
T.sanguinis	182	TuSa	Turicibacter_sanguinis
V.dispar	184	VeDi	Veillonella_dispar
V.parvula	185	VePa	Veillonella_parvula
V.rogosae	186	VeRo	Veillonella_rogosae
V.tobetsuensis	188	VeTo	Veillonella_tobetsuensis
Veillonella.sp.	187	VeSp	Veillonella_sp.
W.cibaria	189	WeCi	Weissella_cibaria
W.confusa	190	WeCo	Weissella_confusa
W.paramesenteroides	191	WePa	Weissella_paramesenteroides
Weissella.sp.	192	WeSp	Weissella_sp
