	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y	DR
86	0.008055566204275383	0.0	70.25382059800666	117	4	SP4	DR24
87	0.007097430510142996	0.0	61.53953488372093	117	5	SP3	DR24
88	0.0010021844034160717	0.0	31.952136752136735	66	18	SP23	DR234
89	8.926658573162894e-05	0.0	88.42239185750635	222	18	SP38	DR99
90	0.001477240538157845	0.0	29.658203592814388	27	17	SP3	DR20
91	0.0008519268254569884	0.0	30.631536926147717	3	49	SP14	DR20
92	0.00032663430567527114	0.0	104.84615384615385	212	6	SP32	DR82
93	0.00032663430567527114	0.0	104.84615384615385	212	13	SP39	DR82
94	0.00010234772741523444	0.0	100.0128205128205	189	15	SP18	DR82
95	0.007499297117879905	0.0	56.012820512820504	139	16	SP36	DR82
96	4.336768110815019e-06	0.0	92.34615384615385	199	20	SP19	DR82
97	1.761153938621209e-05	0.0	83.59615384615384	174	21	SP37	DR82
98	2.827479019919654e-05	0.0	59.14615384615385	148	23	SP17	DR82
99	0.00022830007762202642	0.0	122.63573407202215	229	21	SP32	DR59
100	0.005342221816355418	0.0	98.13573407202215	205	28	SP86	DR59
101	0.00042616014489444933	0.0	116.13573407202215	223	33	SP84	DR59
102	0.000974665716001728	0.0	95.46906740535549	177	36	SP46	DR59
103	0.0017799879678332714	0.0	80.80240073868882	172	39	SP40	DR59
104	0.0025261405307227948	0.0	55.38573407202215	159	53	SP22	DR59
105	0.0025261405307227948	0.0	55.13573407202215	159	55	SP20	DR59
106	0.0009307137411002065	0.0	56.63573407202215	160	57	SP26	DR59
107	0.0009307137411002065	0.0	56.63573407202215	160	58	SP1	DR59
108	0.0025261405307227948	0.0	55.88573407202215	159	59	SP45	DR59
109	0.00016783362544429948	0.0	56.53573407202217	160	61	SP29	DR59
110	0.0005808820969972268	0.0	55.33573407202215	159	62	SP23	DR59
111	0.0005808820969972268	0.0	55.53573407202217	159	64	SP79	DR59
112	3.767679737279557e-06	0.0	91.96906740535549	172	65	SP47	DR59
113	2.2379895904222683e-07	0.0	92.99287692916502	174	71	SP82	DR59
114	0.004109881730926336	0.0	83.51643192488262	184	34	SP73	DR66
115	0.004514459834946172	0.0	79.51643192488262	175	40	SP64	DR66
116	0.002552216010086195	0.0	67.11643192488262	180	41	SP72	DR66
117	0.00364431616519464	0.0	65.31643192488264	177	42	SP67	DR66
118	0.000478701980288916	0.0	89.51643192488262	198	43	SP85	DR66
119	0.0006237242528804184	0.0	76.31643192488264	195	44	SP105	DR66
120	0.000842745809704859	0.0	70.68309859154928	180	52	SP97	DR66
121	0.001286907864699515	0.0	65.18309859154928	177	54	SP66	DR66
122	0.0003797103798376069	0.0	71.51643192488262	181	55	SP99	DR66
123	0.0030605796911921976	0.0	63.23071763916835	165	61	SP22	DR66
124	0.0005967255735395152	0.0	63.659289067739756	175	65	SP26	DR66
125	0.0010343349204087616	0.0	45.4053208137715	155	76	SP18	DR66
126	0.00029498035041032714	0.0	54.31643192488264	165	82	SP92	DR66
127	0.00029498035041032714	0.0	65.71643192488261	165	86	SP21	DR66
128	0.0001375708038324137	0.0	68.60734101579172	165	87	SP77	DR66
129	2.3834689661886602e-05	0.0	57.42552283397353	173	88	SP25	DR66
130	0.0001375708038324137	0.0	60.60734101579172	165	91	SP62	DR66
131	0.00024663844447535667	0.0	46.97097737942809	155	92	SP19	DR66
132	0.0001375708038324137	0.0	59.60734101579172	165	95	SP63	DR66
133	0.00010835626472644226	0.0	51.57991631799163	140	17	SP25	DR105
134	9.808455918960252e-05	0.0	15.79172537229536	14	97	SP132	DR15
135	0.00016082655863892086	0.0	15.174212648818926	26	119	SP63	DR15
136	4.1990832369171464e-07	0.0	18.349622734644953	5	123	SP64	DR15
137	0.0005150859409392512	0.0	8.739573473561194	3	146	SP71	DR15
138	0.00015505956638127433	0.0	10.85611193509965	3	147	SP70	DR15
