	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
am0162	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	2	0	0	1	3	0	0	3
am0163	0	0	0	0	1	0	2	0	0	1	0	0	0	2	1	2	0	0	0	2	1	0	1	1	0	3	4
am0164	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	1	4	0	6	4	8	10	7	5
am0165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0166	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	3	0	2	0	0	0	2	7	0	2
am0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2
am0168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	2	0	0
am0169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	6
am0171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	1	1	7	4	5
am0172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	2	0	0
am0173	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0
am0174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	3
am0175	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0
am0177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	4	4	3	3	5	0	4	6
am0178	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	1	3	2	2	0	2	2	2	7	7	8
am0179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	4
am0180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0
am0181	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0
am0182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	1	2	4	2	2
am0183	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	1	2	0	1	2	1	4	3	7
am0184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	2	1	2	0	0	0
am0185	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	3	0	2	2
am0186	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	2	2	0	1
am0187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	3
am0188	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	1	1	2	0	2	2
am0189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	2	3	3	1	1	0
am0190	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	3	2	0	1	0	1	3	2	7	1	1
am0192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	0	3	3	4
am0194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
am0195	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	1	2	2	5	3	6	3	3	6	12
am0196	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	3	6
am0197	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	2	1	3	1	1	8	2	8	1	7	8	10
am0198	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	2	3	1	3	2	0	1	1
am0199	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	2	2	0	0	1	3	0	4	3	1
am0200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	6
am0201	0	0	0	0	0	0	0	0	0	1	3	0	0	1	3	1	3	1	2	2	0	6	3	2	3	4	2
am0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0
am0203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	1	2	2	2	3
am0204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	3	4
am0205	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	1	2	1	0	2	0	3	3
am0206	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	3	2	2	1	1	0	1	1	5	1	1
am0207	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	3	2	1	5	1	6	1	6	5	5
am0208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	3	0	2	0	2	4	9
am0209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	3	4	4	5
am0210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	3	4	5	4	5	5
am0211	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	3	4	1	2	1	2	3	2	8	4	6
am0212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1
am0213	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
am0214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0215	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	6	5	4	5	3	6	3	2	4
am0216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	0	2	2	4	2	6	1	8
am0217	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	2	2	1	0	0	0	5	4	4	2
am0218	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	3	4	6	7	6	5	4	7	9	10	9
am0219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	6	0	9	4	3	3	3
am0220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	4	1	1	0	3	2
am0221	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1
am0222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
am0223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	1	2	6	6
am0224	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1
am0226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	3	0	2	2	1
am0227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
am0228	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
am0229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	3	0	1	0
am0230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	4	0	1	0	1
am0231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	3
