	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
am0083	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	10	5	22	19	12	11	18	15	15	16	17	12	13	14	16	25	22	13	13	21	17	24	19	19	17	14	17	17	14	22	18	19	17	23	22	24	24	19	21	19	29	23	16	25	19	23	22	474
am0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	8	8	10	8	11	12	9	9	6	11	12	16	6	5	13	13	9	9	16	12	17	17	17	17	20	5	5	14	14	19	9	12	5	16	12	10	19	14	23	22	9	12	9	26	17	17	294
am0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	10	6	10	6	8	7	7	4	10	7	9	10	8	11	15	16	16	17	13	9	14	14	6	9	9	9	9	13	11	9	8	10	15	19	13	19	14	9	13	14	7	15	10	11	17	290
am0086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	12	9	20	16	15	9	9	13	13	15	17	10	12	11	12	21	15	9	9	11	20	10	9	9	12	14	20	20	17	22	14	19	18	21	18	18	17	12	28	16	15	25	23	18	21	23	24	421
am0087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	5	9	5	4	3	3	3	9	4	8	6	4	6	2	3	3	2	12	5	8	8	4	9	6	6	5	10	9	10	5	5	3	3	5	5	17	10	8	7	8	6	6	7	5	135
am0088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	2	6	7	8	6	4	4	11	9	6	10	4	3	6	6	9	9	8	8	7	8	8	6	11	6	6	9	14	12	9	10	7	11	10	4	6	12	16	14	7	14	8	12	10	12	190
am0089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	5	6	13	12	10	13	9	7	7	9	12	9	12	8	13	14	14	13	13	11	13	9	10	10	18	18	15	15	9	17	19	7	15	17	14	20	16	17	14	24	13	20	14	16	27	17	19	336
am0090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	9	10	12	8	13	13	10	10	7	8	16	10	10	11	17	6	11	11	11	12	17	9	9	10	19	12	12	6	11	14	14	5	17	12	15	12	12	14	21	8	13	17	16	14	8	19	296
am0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	16	10	11	7	9	11	11	6	14	9	6	9	9	18	9	5	5	7	20	11	12	12	8	9	19	19	2	16	8	13	4	15	14	8	12	7	27	12	6	20	9	13	12	6	14	295
am0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	8	7	3	5	13	8	8	2	11	11	4	6	6	8	9	9	9	4	5	14	2	2	6	5	7	7	8	15	6	7	8	6	10	13	9	12	11	6	3	9	14	6	9	9	10	202
