	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
am0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	3	19	19	4	16	10	10	16	14	14	10	10	10	10	5	4	12	12	12	3	3	7	6	22	12	13	16	4	15	12	7	13	20	12	18	19	19	19	20	20	24	9	21	25	25	30	19	20	20	25	31	16	26	16	29	27	18	209
am0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	4	1	1	4	6	10	12	12	8	8	4	4	12	11	15	8	8	8	18	12	12	8	18	15	10	10	23	13	4	14	3	15	12	22	16	19	19	19	12	12	13	23	13	5	13	11	18	15	15	21	6	11	16	10	18	30	15	192
am0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	7	7	7	6	5	7	3	5	2	2	5	5	7	9	4	3	6	6	4	9	9	4	5	6	8	7	5	10	2	11	0	8	10	6	11	5	5	5	14	14	8	6	5	7	8	12	4	11	11	14	7	20	15	18	9	19	24	126
am0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	7	7	0	4	4	6	5	4	4	5	5	6	5	4	0	4	4	7	3	3	2	3	7	4	6	8	3	13	7	6	9	9	5	4	12	12	12	15	15	6	4	10	15	14	11	8	15	15	7	16	11	16	11	14	17	16	107
am0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	8	8	5	12	16	6	19	8	8	10	10	14	10	11	9	11	11	7	16	15	7	11	22	15	13	8	20	12	15	19	20	24	13	17	21	21	21	16	16	11	21	22	18	12	32	15	25	25	23	23	24	36	19	37	31	33	280
am0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	12	12	2	6	5	3	7	11	11	5	5	3	10	9	10	8	8	5	8	8	1	9	10	12	7	5	10	10	13	6	7	17	12	18	14	14	14	9	9	15	11	11	16	19	35	16	12	12	22	17	9	20	10	15	17	16	182
am0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	11	11	4	4	7	4	8	7	7	6	6	4	9	5	2	17	17	3	4	4	5	6	9	18	6	5	6	10	20	6	7	7	9	15	11	11	11	4	4	14	6	10	16	16	16	17	11	11	16	17	19	12	15	16	7	19	141
am0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	4	4	2	10	4	8	6	6	5	5	6	8	5	6	3	3	9	6	6	2	6	8	6	6	10	7	10	9	5	11	6	7	23	11	11	11	16	16	7	9	16	8	8	9	12	8	8	25	13	16	13	12	17	23	19	154
am0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	18	18	7	8	9	5	3	9	9	9	9	14	7	14	8	9	9	10	19	19	7	23	9	14	11	12	20	19	12	16	20	11	24	10	12	12	12	11	11	15	31	28	27	21	32	18	23	23	14	33	27	20	33	38	33	45	272
am0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	4	4	1	2	6	3	5	5	2	2	2	2	2	1	2	2	8	0	0	4	2	3	2	7	8	0	1	6	4	4	4	2	3	4	4	4	4	4	10	3	6	4	7	14	9	3	3	5	4	4	7	3	12	7	4	56
