	0	1	2	3	4	5	6	7	8	9	10	11	12	13
am0208	0	0	0	0	0	0	4	1	1	5	4	5	6	5
am0209	0	0	0	0	0	0	3	2	2	5	5	9	7	10
am0210	0	0	0	0	0	0	0	0	1	4	1	5	4	8
am0211	0	0	0	0	0	0	6	1	4	4	6	5	4	8
am0212	0	0	0	0	0	0	1	5	6	3	4	7	4	9
am0213	0	0	0	0	0	0	2	0	0	2	2	2	2	1
am0214	0	0	0	0	0	0	4	8	9	6	8	6	8	12
am0215	0	0	0	0	0	0	4	5	7	3	8	5	3	5
am0216	0	0	1	0	0	0	4	7	9	7	6	8	8	11
am0217	0	0	0	0	0	0	2	0	0	3	2	2	5	5
am0218	0	0	0	0	0	0	7	1	1	17	9	10	18	21
am0219	0	0	0	0	0	0	2	5	5	3	4	1	3	3
am0220	0	0	0	0	0	0	19	15	16	16	28	5	24	19
am0221	0	0	0	0	0	0	2	6	6	3	3	2	4	7
am0222	0	0	0	0	0	1	0	3	4	2	2	2	2	2
am0223	0	0	0	0	0	0	7	1	4	4	8	9	8	13
am0224	0	0	0	0	0	0	1	0	1	1	1	0	1	1
am0225	0	0	0	0	0	0	8	4	7	12	14	8	16	17
am0226	0	0	0	0	0	0	3	5	6	4	5	5	5	8
am0227	0	0	0	0	0	0	2	2	2	1	2	4	3	5
am0228	0	0	0	0	0	0	3	1	3	8	5	8	9	14
am0229	0	0	0	0	0	0	3	4	4	3	4	2	6	3
am0230	0	0	0	0	0	0	3	2	2	3	5	2	4	4
am0231	0	0	0	0	0	0	3	1	2	5	4	2	6	5
