	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98
am0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	3	0	0	0	0	0	7	1	2	2	0	2	1	1	0	9	1	2	1	0	3	3	2	0	2	0	1	2	3	0	0	3	0	0	0	0	2	0	2	2	0	2	13
am0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	3	0	0	4	0	3	1	2	0	0	2	2	0	1	5	1	5	2	1	2	2	3	4	6	2	2	5	3	8	3	2	1	1	2	4	3	10	3	2	6	6	1	7	2	3	10	2	4	6	3	4	3	7	40
am0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	2	0	2	2	4	4	0	1	2	1	0	1	2	3	3	6	1	3	0	2	0	2	2	2	1	2	1	3	3	0	1	0	2	1	4	4	1	4	0	1	1	0	2	5	4	0	0	4	1	3	0	3	4	0	5	3	14
am0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	3	2	2	8	2	3	10	10	12	12	2	13	4	8	9	8	3	8	13	5	7	11	12	12	11	5	5	16	13	7	18	11	11	14	13	23	20	7	18	12	12	16	11	14	14	10	14	22	9	5	10	31	19	23	12	13	18	12	9	20	21	19	16	25	22	81
am0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	4	0	0	3	3	2	2	4	2	4	0	0	3	1	4	5	7	5	3	4	4	2	9	4	8	5	7	6	10	10	13	10	4	6	3	5	10	14	8	18	7	7	9	3	11	9	5	13	8	8	8	10	1	6	11	13	13	7	18	13	6	16	72
am0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	7	8	7	4	4	8	8	3	5	12	8	8	11	8	16	9	4	21	16	16	16	8	3	16	16	17	8	10	4	4	10	4	17	17	9	14	13	26	9	9	12	12	21	17	12	23	11	16	23	18	17	41	46	17	34	27	31	22	25	39	21	27	140
am0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	1	1	1	2	3	1	3	4	6	6	3	4	6	8	3	10	7	11	11	8	3	9	5	9	9	9	1	1	17	3	8	4	6	11	8	8	8	14	9	9	4	8	7	14	12	13	11	17	19	13	12	20	20	9	9	16	12	18	23	18	66
am0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	2	3	1	0	0	1	0	0	7	2	2	2	5	6	2	7	7	1	6	5	6	5	3	4	0	0	6	1	2	10	8	2	2	6	3	4	4	4	6	3	7	7	2	4	2	3	5	8	8	8	10	7	14	1	13	12	9	6	32
am0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	6	2	7	2	2	0	7	3	6	9	5	5	11	6	13	5	7	10	9	8	8	6	3	10	14	13	4	6	10	10	14	11	15	5	25	6	8	10	14	14	14	14	7	18	13	2	11	21	17	11	16	18	21	16	3	24	14	27	18	30	17	12	74
am0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2	0	1	1	2	0	2	2	0	1	1	1	3	1	2	2	2	1	2	3	2	3	4	1	2	2	1	6	6	4	5	0	1	4	2	5	3	0	4	4	0	2	4	0	2	0	5	0	4	16
